Resturant id,Wine Name,Wine Type,Wine Price,Company Name,Location,Tasting Score,Opening Time,Closing Time
12,Tablas Creek,Fortified,96.88,Esprit Blanc de Tablas,"California,USA",88.3,07:30,17:00
14,Saxum,Sparkling,47.68,"Bone Rock Red, James Berry Vineyard","California,USA",83.6,07:30,18:00
15,Saxum,Sparkling,60.05,Bone Rock James Berry Vineyard Syrah,"California,USA",97.1,08:30,17:00
30,Facets,Dessert,62.49,Cabernet Sauvignon,"California,USA",88.5,07:00,20:30
161,Gemstone,Sparkling,75.84,Alluvial Selection Estate Cabernet Sauvignon,"California,USA",99.6,08:00,21:00
162,Gemstone,Red,63.16,Heritage Selection Estate Cabernet Sauvignon,"California,USA",83.1,09:00,19:00
163,Gemstone,Sparkling,36.5,Cabernet Sauvignon,"California,USA",95.6,07:00,20:30
164,Quintara,Fortified,16.4,Chardonnay,"California,USA",90.6,08:30,20:30
165,Harmony and Soul,Fortified,90.3,Cabernet Sauvignon,"California,USA",91.0,09:00,18:00
175,Ojai Mountain,Fortified,77.81,Red Blend,"California,USA",85.3,08:00,21:00
178,Ojai Mountain,Dessert,35.48,Syrah,"California,USA",87.4,07:00,21:00
180,Au Bon Climate,Dessert,12.33,Knox Alexander,"California,USA",91.0,08:00,17:00
211,World's End,White,55.8,Rebel Rebel Reserve Sauvignon Blanc,"California,USA",89.6,07:00,19:00
212,Velvet Sky,Fortified,43.3,Buttery Chardonnay,"California,USA",83.6,08:30,18:00
213,Latista,Dessert,14.62,Winemaker's Reserve Chardonnay,"California,USA",90.6,09:00,20:30
214,Argosy,Fortified,99.19,Red Blend Winemaker's Reserve,"California,USA",96.7,07:00,19:00
215,Annulus Cellars,Red,95.28,Vine Hill Ranch Vineyard Cabernet Sauvignon,"California,USA",97.8,08:30,17:00
216,Annulus Cellars,White,34.19,Cabernet Sauvignon,"California,USA",86.0,09:00,19:00
220,Annulus Cellars,Fortified,29.03,Las Piedras Cabernet Sauvignon,"California,USA",83.7,09:00,19:00
226,Amici,Rosé,87.4,Beckstoffer Missouri Hopper Vineyard Cabernet Sauvignon,"California,USA",97.2,09:00,20:30
227,BRION,Dessert,72.82,Caldwell Vineyard Cabernet Sauvignon,"California,USA",95.5,09:00,17:00
228,BRION,Sparkling,12.19,Oakville Ranch Vineyard Cabernet Sauvignon,"California,USA",88.6,07:30,21:00
229,Cliff Lede,Red,37.9,Songbook Cabernet Sauvignon,"California,USA",82.8,07:30,18:00
241,Tres Perlas,White,80.65,The Barber Cabernet Sauvignon,"California,USA",83.3,07:30,20:30
242,TOR Wines,Rosé,99.49,Beckstoffer To Kalon Vineyard BFD Cabernet Sauvignon,"California,USA",97.6,07:30,19:00
243,TOR Wines,White,57.2,Beckstoffer To Kalon Vineyard Cabernet Sauvignon,"California,USA",98.8,08:30,18:00
244,TOR Wines,White,23.41,Melanson Vineyard Cabernet Sauvignon,"California,USA",90.1,09:00,17:00
245,The Debate,White,52.41,Harbison Vineyard Cabernet Sauvignon,"California,USA",96.0,07:30,21:00
246,Pulido-Walker,Fortified,97.78,Melanson Cabernet Sauvignon,"California,USA",94.6,09:00,19:00
247,Outpost,Fortified,24.62,True Vineyard Cabernet Sauvignon,"California,USA",80.5,09:00,19:00
248,Lail Vineyards,Dessert,28.13,J. Daniel Cuvée Cabernet Sauvignon,"California,USA",82.1,07:00,18:00
249,Kinsman Eades,Fortified,24.61,Rhadamanthus Cabernet Sauvignon,"California,USA",81.7,09:00,18:00
250,Kinsman Eades,Red,93.3,Anjea Sleeping Lady Vineyard Cabernet Sauvignon,"California,USA",92.4,07:00,17:00
251,Fairest Creature,Fortified,31.58,Polyspline,"California,USA",81.5,08:00,19:00
252,Corison,Red,70.73,Sunbasket Vineyard Cabernet Sauvignon,"California,USA",91.3,07:30,18:00
253,Band of Vintners,White,16.98,Cabernet Sauvignon,"California,USA",90.0,09:00,20:30
254,Spottswoode,Sparkling,41.88,Lyndenhurst Cabernet Sauvignon,"California,USA",94.5,09:00,21:00
255,Parable,Rosé,93.34,Vangone Vineyard Cabernet Sauvignon,"California,USA",90.7,08:30,17:00
256,Paul Hobbs,Fortified,66.95,Beckstoffer Las Piedras Vineyard Cabernet Sauvignon,"California,USA",85.0,09:00,17:00
257,Paul Hobbs,White,38.53,Nathan Coombs Estate Cabernet Sauvignon,"California,USA",93.5,07:30,18:00
258,B Cellars,Sparkling,47.32,Beckstoffer Missouri Hopper Cabernet Sauvignon,"California,USA",94.9,07:00,18:00
259,B Cellars,Sparkling,49.93,Beckstoffer To Kalon Cabernet Sauvignon,"California,USA",97.5,07:00,17:00
260,AXR,Fortified,90.66,AxR1 Cabernet Sauvignon,"California,USA",86.7,08:30,21:00
261,JH Wheeler,Rosé,28.44,Sleeping Lady Vineyard Cabernet Sauvignon,"California,USA",87.6,07:00,19:00
262,Ad Vivum,Red,74.72,Sleeping Lady Vineyard Cabernet Sauvignon,"California,USA",86.4,07:00,17:00
263,La Jota,Sparkling,95.47,Cabernet Sauvignon,"California,USA",91.3,09:00,18:00
264,Stag's Leap Wine Cellars,Fortified,33.35,Cask 23 Cabernet Sauvignon,"California,USA",95.5,08:30,19:00
265,Harlan Estate,Rosé,12.44,Cabernet Sauvignon,"California,USA",83.0,09:00,20:30
266,Opus One,Dessert,27.03,Red Wine,"California,USA",87.4,08:00,20:30
267,Lokoya,Dessert,35.4,Spring Mountain Cabernet Sauvignon,"California,USA",98.7,08:30,21:00
268,Screaming Eagle,Sparkling,22.35,Cabernet Sauvignon,"California,USA",88.9,07:30,21:00
269,La Pelle,White,11.52,Red Hen Vineyard Cabernet Sauvignon,"California,USA",89.1,07:30,21:00
270,La Pelle,Sparkling,27.41,Ceniza Vineyard Cabernet Sauvignon,"California,USA",93.7,07:00,20:30
271,Purlieu,White,20.64,Sugarloaf Mountain Vineyard Cabernet Sauvignon,"California,USA",97.7,08:00,18:00
272,Purlieu,Dessert,45.4,Beckstoffer Missouri Hopper Cabernet Sauvignon,"California,USA",80.6,07:00,17:00
273,Purlieu,Fortified,28.48,Beckstoffer Georges III Cabernet Sauvignon,"California,USA",86.7,07:30,19:00
274,Julien Fayard,Red,53.16,Classic Cabernet Sauvignon,"California,USA",98.0,08:30,19:00
275,Purlieu,Rosé,52.95,Sleeping Lady Vineyard Cabernet Sauvignon,"California,USA",91.8,07:00,20:30
276,Purlieu,Dessert,45.29,Napa Valley Cabernet Sauvignon,"California,USA",81.8,07:00,17:00
277,Covert Estate,Fortified,94.99,Estate Cabernet Sauvignon Clone 337 / 191,"California,USA",89.3,08:00,18:00
278,La Pelle,Fortified,57.87,Alluvium Vineyard Cabernet Sauvignon,"California,USA",91.8,08:30,21:00
279,Macauley Vineyard,White,19.79,Stagecoach Cabernet Sauvignon,"California,USA",85.4,09:00,20:30
280,Adamvs,Dessert,77.23,Quintvs Estate Cabernet Sauvignon,"California,USA",87.3,09:00,18:00
281,Adamvs,White,58.08,Téres Estate Cabernet Sauvignon,"California,USA",89.5,07:00,17:00
282,Adamvs,Sparkling,18.83,Cabernet Sauvignon,"California,USA",84.0,09:00,21:00
283,Gibbs Vineyards,Sparkling,67.02,Three Clones Cabernet Sauvignon,"California,USA",84.4,08:30,19:00
286,Priest Ranch,Dessert,77.28,Somesrton Vineyards Cabernet Sauvignon,"California,USA",90.1,07:00,21:00
287,Terra Solis,Fortified,27.56,CABi Cabernet Sauvignon,"California,USA",82.1,08:30,17:00
288,Tres Perlas,Fortified,34.28,360 Vineyard Cabernet Sauvignon,"California,USA",89.8,07:30,17:00
289,Vin Soleil,Sparkling,31.0,Cabernet Sauvignon,"California,USA",83.2,09:00,17:00
290,World's End,Rosé,72.55,Crossfire Beckstoffer Missouri Hipper Vineyard Cabernet Sauvignon,"California,USA",99.8,07:30,21:00
291,World's End,White,44.92,"Good Times, Bad Times Beckstoffer To Kalon Vineyard Cabernet Sauvignon","California,USA",88.2,07:00,17:00
292,Bacio Divino,Sparkling,33.45,Janzen Cabernet Sauvignon,"California,USA",95.1,08:00,19:00
293,Lail Vineyards,Red,93.35,Blueprint Cabernet Sauvignon,"California,USA",82.7,07:00,20:30
294,Larkmead,Red,17.81,Estate Cabernet Sauvignon,"California,USA",85.7,08:00,20:30
295,Les Grands Chais de France,Rosé,15.74,Lost Parcels Cabernet Sauvignon,"California,USA",99.0,07:30,21:00
296,Macauley Vineyard,Fortified,41.63,Cabernet Sauvignon,"California,USA",80.2,08:00,17:00
297,Michel Rolland,Red,88.71,Cabernet Sauvignon,"California,USA",85.4,08:00,20:30
298,Patria,Dessert,78.63,A. Price Vineyard Cabernet Sauvignon,"California,USA",83.3,08:30,21:00
299,Paul Hobbs,Fortified,65.53,Cristina's Signature Nathan Coombs Estate,"California,USA",83.5,08:00,18:00
300,Philip Togni,Dessert,42.16,Tanbark Hill Cabernet Sauvignon,"California,USA",88.3,07:30,19:00
316,Mirror,Red,96.77,Cabernet Sauvignon,"California,USA",86.9,08:30,21:00
317,Oleandri,Sparkling,57.77,Cabernet Sauvignon,"California,USA",95.9,09:00,21:00
318,Pine Ridge Vineyards,Dessert,74.7,Cabernet Sauvignon,"California,USA",93.2,07:30,17:00
319,Trespass Vineyard,Fortified,53.03,Estate Cabernet Sauvignon,"California,USA",91.7,07:00,21:00
320,Sunshine Valley Vineyards,Rosé,76.43,Cabernet Sauvignon,"California,USA",87.2,09:00,20:30
321,V. Sattui Winery,Sparkling,79.83,Vangone Vineyard Cabernet Sauvignon,"California,USA",90.2,07:00,18:00
322,Eleven Eleven,Sparkling,87.3,XI Cabernet Sauvignon,"California,USA",94.9,07:30,19:00
323,Bennett Lane,Red,58.03,Reserve Cabernet Sauvignon,"California,USA",99.7,09:00,17:00
324,Precision Wine Company,Sparkling,15.57,Method Cabernet Sauvignon,"California,USA",81.7,08:00,18:00
325,Bennett Lane,Red,64.03,Cabernet Sauvignon,"California,USA",84.5,07:00,21:00
326,Razi,Fortified,63.38,Cabernet Sauvignon,"California,USA",90.1,07:00,20:30
327,Beaulieu Vineyard,Dessert,77.48,Cabernet Sauvignon,"California,USA",95.4,08:00,18:00
329,Freemark Abbey,Rosé,96.56,Cabernet Sauvignon Napa Valley,"California,USA",81.3,08:00,21:00
330,Freemark Abbey,Rosé,27.75,Cabernet Sauvignon Rutherford,"California,USA",92.5,07:00,21:00
343,Radio-Coteau,Sparkling,95.48,Belay,"California,USA",87.5,08:30,21:00
482,Dragonette,Sparkling,14.86,MJM Syrah,"California,USA",85.3,08:30,20:30
483,Dragonette,Dessert,75.43,Black Label Pinot Noir,"California,USA",92.7,07:30,21:00
484,Dragonette,White,17.26,Black Label Chardonnay,"California,USA",85.6,08:30,18:00
485,Dragonette,Fortified,12.22,Grassini Family Vineyard Sauvignon Blanc,"California,USA",83.1,08:00,18:00
486,Dragonette,Fortified,39.32,Vogelzang Vineyard Sauvignon Blanc,"California,USA",91.2,07:00,21:00
487,Dragonette,Sparkling,53.59,Vogelzang Vineyard Sauvignon Blanc,"California,USA",96.2,08:30,17:00
561,Josh Cellars,Rosé,12.28,Pinot Noir,"California,USA",89.0,07:30,19:00
571,Bedrock Wine Co,Rosé,33.21,Syrah,"California,USA",91.5,09:00,20:30
572,Arnot-Roberts,Dessert,86.6,Syrah,"California,USA",93.3,07:00,18:00
646,Convene by Dan Kosta,White,29.8,Pinot Noir,"California,USA",81.9,07:30,18:00
647,DK Grail,Fortified,14.42,Campbell Ranch Pinot Noir,"California,USA",97.5,08:30,18:00
648,Convene by Dan Kosta,Fortified,87.0,Pinot Noir,"California,USA",83.5,07:30,18:00
649,Petroni,Rosé,35.79,Poggio Alla Pietra Brunello di Sonoma,"California,USA",93.8,08:30,21:00
650,Petroni,Rosé,56.75,Poggio Alla Pietra Brunello di Sonoma,"California,USA",90.8,08:00,20:30
651,Petroni,White,92.88,Poggio Alla Pietra Brunello di Sonoma,"California,USA",84.7,07:00,21:00
652,Petroni,Rosé,67.0,Rosso di Sonoma  Red Wine,"California,USA",96.6,07:30,18:00
653,Sleeper,Red,46.28,Cabernet Sauvignon Reserve,"California,USA",97.7,08:00,19:00
654,Sleeper,Dessert,27.43,Cabernet Sauvignon,"California,USA",80.8,09:00,19:00
655,Midnight Cellars,Dessert,29.94,Cabernet Sauvignon Nebula,"California,USA",99.4,07:30,21:00
656,Ragtag Wine Co.,Dessert,99.49,Meritage,"California,USA",83.8,08:00,21:00
657,Yount Ridge,Rosé,52.62,Cabernet Sauvignon,"California,USA",86.5,07:30,21:00
658,Marchelle,Dessert,78.0,Manchester Ridge Vineyard Chardonnay,"California,USA",81.7,08:00,19:00
659,Fairest Creature,Dessert,31.32,Cabernet Sauvignon,"California,USA",94.5,07:30,21:00
660,Spring Mountain Vineyard,Sparkling,69.61,Vista 42 Cabernet Sauvignon,"California,USA",98.7,09:00,21:00
663,Zeitlos,Rosé,72.02,Riesling,"California,USA",99.7,09:00,18:00
669,Cobb,Fortified,17.35,Cole Ranch Vineyard Riesling,"California,USA",83.3,08:00,19:00
675,Kendall Jackson,Sparkling,19.92,Vintner's Reserve Merlot,"California,USA",83.6,07:30,21:00
760,Saxum,White,75.73,Bone Rock - James Berry Vineyard,"California,USA",82.7,07:00,21:00
761,Saxum,White,64.22,Heart Stone Vineyard,"California,USA",93.7,07:00,19:00
762,Saxum,Sparkling,23.97,4hearts Vineyard,"California,USA",85.9,09:00,17:00
763,Saxum,Red,75.77,Paderewski Vineyard,"California,USA",85.1,07:30,17:00
764,Saxum,Fortified,59.43,Somnus,"California,USA",82.2,07:30,19:00
765,Saxum,Sparkling,97.08,Rocket Block - James Berry Vineyard,"California,USA",86.7,09:00,18:00
775,Cobb,White,84.28,Diane Cobb: Coastlands Vineyard Pinot Noir,"California,USA",94.7,07:00,18:00
776,Cobb,Fortified,91.7,Doc's Ranch Vineyard-JoAnn's Block Chardonnay,"California,USA",87.4,09:00,19:00
778,Cobb,Dessert,68.96,Doc's Ranch Estate Pinot Noir,"California,USA",82.9,09:00,20:30
779,Cobb,Fortified,83.85,Abigail's Vineyard Estate Pinot Noir,"California,USA",91.6,08:00,17:00
780,Cobb,White,87.45,Coastlands Old Firs Block,"California,USA",83.0,07:00,19:00
792,Joey Tensley,Fortified,34.82,Fundamental White,"California,USA",82.7,07:00,19:00
811,Kendall-Jackson,Red,92.84,Estates Collection Syrah,"California,USA",93.1,09:00,20:30
869,Wente Vineyards,Dessert,20.1,Beyer Ranch Zinfandel,"California,USA",90.0,07:00,18:00
891,Petroni,Sparkling,29.91,Proprietor's Reserve,"California,USA",86.6,07:00,18:00
892,Petroni,Fortified,80.52,Proprietor's Reserve,"California,USA",91.0,09:00,18:00
893,Petroni,Dessert,52.06,Proprietor's Reserve,"California,USA",98.2,09:00,19:00
894,Petroni,Fortified,76.45,Estate Grown Cabernet Sauvignon,"California,USA",89.8,09:00,21:00
895,Pride Mountain Vineyards,White,91.35,Merlot,"California,USA",81.3,08:00,17:00
901,Whitehall Lane,Sparkling,87.85,Sonoma Stage Vineyard Pinot Noir,"California,USA",91.0,08:30,19:00
902,Whitehall Lane,Fortified,95.32,Sauvignon Blanc,"California,USA",98.1,07:30,19:00
903,Burgess Cellars,Rosé,13.73,Sorenson,"California,USA",81.0,08:00,17:00
904,Burgess Cellars,Dessert,34.06,Clos Abeille,"California,USA",83.4,08:00,20:30
905,Burgess Cellars,Sparkling,46.22,Cygnus,"California,USA",99.1,08:30,20:30
906,Burgess Cellars,Red,62.2,Quartz Creek Vineyard,"California,USA",89.0,09:00,19:00
946,Adelaida,Fortified,67.18,Signature Viking Estate Vineyard Cabernet Franc,"California,USA",97.1,08:30,17:00
947,Saxum,Rosé,17.56,G2 Vineyard,"California,USA",85.9,09:00,21:00
948,Ledge Vineyards,Red,39.27,Estate Grenache Blend,"California,USA",89.8,09:00,21:00
949,J Dusi,Dessert,66.51,Paper Street Zinfandel,"California,USA",94.5,07:30,17:00
950,Turley,Fortified,77.21,Pesenti Vineyard Zinfandel,"California,USA",84.5,07:00,17:00
951,LXV,Red,26.42,Meso Cabernet Sauvignon,"California,USA",92.4,07:00,19:00
952,Tablas Creek,Sparkling,40.97,Esprit de Tablas,"California,USA",97.1,08:00,20:30
953,J Lohr,Dessert,80.69,Cuvée St. E,"California,USA",92.9,08:00,19:00
954,Daou,White,76.28,Soul of a Lion,"California,USA",81.2,07:00,17:00
955,Saxum,Red,10.44,James Berry Vineyard Red,"California,USA",92.8,09:00,18:00
956,Giornata,White,43.87,Fiano,"California,USA",81.6,08:30,21:00
957,Tablas Creek,Sparkling,38.63,Patelin de Tablas,"California,USA",81.6,07:30,20:30
958,Caliza,Rosé,24.18,Kän-krēt Grenache,"California,USA",83.6,08:30,18:00
959,Patrimony,Sparkling,86.95,Cabernet Sauvignon,"California,USA",85.1,08:30,21:00
960,L'Aventure,White,53.06,Estate Reserve,"California,USA",96.2,08:00,21:00
961,Adelaida,Red,19.75,Signature Viking Estate Vineyard Cabernet Franc,"California,USA",90.3,09:00,17:00
962,Saxum,White,49.62,G2 Vineyard,"California,USA",89.6,08:00,18:00
963,Ledge Vineyards,Fortified,77.14,Estate Grenache Blend,"California,USA",95.9,07:00,19:00
964,J Dusi,Rosé,93.2,Paper Street Zinfandel,"California,USA",81.9,08:00,18:00
965,Turley,Rosé,29.56,Pesenti Vineyard Zinfandel,"California,USA",88.7,07:00,18:00
966,LXV,White,54.35,Meso Cabernet Sauvignon,"California,USA",84.5,07:30,17:00
967,Tablas Creek,White,58.18,Esprit de Tablas,"California,USA",88.1,07:00,21:00
968,J Lohr,White,64.69,Cuvée St. E,"California,USA",83.9,07:30,21:00
969,Daou,Dessert,63.57,Soul of a Lion,"California,USA",81.9,08:00,21:00
970,Saxum,Dessert,57.66,James Berry Vineyard Red,"California,USA",89.6,08:30,19:00
971,Giornata,Red,30.32,Fiano,"California,USA",80.0,09:00,19:00
972,Tablas Creek,Fortified,78.36,Patelin de Tablas,"California,USA",84.6,09:00,19:00
973,Caliza,Red,26.08,Kän-krēt Grenache,"California,USA",88.9,08:30,20:30
974,Patrimony,Fortified,68.71,Cabernet Sauvignon,"California,USA",86.5,09:00,18:00
975,L'Aventure,Fortified,84.49,Estate Reserve,"California,USA",86.4,07:30,17:00
