Resturant_id,Wine_Name,Wine_Type,Wine_Price,Company_Name,Location,Tasting_Score,normalised_demand,Owner_demand,auction_restaurant_id,auction_wine_name,auction_company_name,auction_normalised_demand,wine_price_rands,city,country,wine_price_rands_flag,taste_score_flag,auction_restaurant_flag,auction_wine_flag,auction_company_flag,wine_price_category,taste_category,auction_restaurant_category,auction_wine_category,auction_company_category,demand_flag
638,Leza Garcia,Sparkling,55.32,La Artesilla de Leza García,"Northern Spain,Spain",84.4,0.8440000000000001,4,638.0,Ledge Vineyards,Estate Grenache Blend,0.8029999999999999,1021.21,Northern Spain,Spain,R1000-R1500,80-90,1,1,1,Moderate,Premium,participated,participated,participated,medium demand
638,Leza Garcia,Sparkling,55.32,La Artesilla de Leza García,"Northern Spain,Spain",84.4,0.8440000000000001,4,638.0,Patrimony,Cabernet Sauvignon,0.802,1021.21,Northern Spain,Spain,R1000-R1500,80-90,1,1,1,Moderate,Premium,participated,participated,participated,medium demand
638,Leza Garcia,Sparkling,55.32,La Artesilla de Leza García,"Northern Spain,Spain",84.4,0.8440000000000001,4,638.0,Saxum,James Berry Vineyard Red,0.802,1021.21,Northern Spain,Spain,R1000-R1500,80-90,1,1,1,Moderate,Premium,participated,participated,participated,medium demand
639,Casa La Rad,Dessert,37.88,Special Edition P38,"Northern Spain,Spain",93.1,0.931,1,nan,nan,nan,nan,699.26,Northern Spain,Spain,R500-R1000,90-100,0,0,0,Affordable,Exceptional,no participation,no participation,no participation,Normal demand
640,Fincas de Azabache,Dessert,32.71,Coscojares,"Northern Spain,Spain",96.2,0.962,2,nan,nan,nan,nan,603.83,Northern Spain,Spain,R500-R1000,90-100,0,0,0,Affordable,Exceptional,no participation,no participation,no participation,Normal demand
641,Ilurce,Red,59.3,El Sueño de Amado,"Northern Spain,Spain",85.9,0.8590000000000001,2,641.0,Daou,Soul of a Lion,1.0,1094.68,Northern Spain,Spain,R1000-R1500,80-90,1,1,1,Moderate,Premium,participated,participated,participated,medium demand
641,Ilurce,Red,59.3,El Sueño de Amado,"Northern Spain,Spain",85.9,0.8590000000000001,2,641.0,LXV,Meso Cabernet Sauvignon,1.0,1094.68,Northern Spain,Spain,R1000-R1500,80-90,1,1,1,Moderate,Premium,participated,participated,participated,medium demand
642,Luis Cañas,Sparkling,56.0,El Palacio,"Northern Spain,Spain",86.5,0.865,3,642.0,Daou,Soul of a Lion,1.0,1033.76,Northern Spain,Spain,R1000-R1500,80-90,1,1,1,Moderate,Premium,participated,participated,participated,medium demand
642,Luis Cañas,Sparkling,56.0,El Palacio,"Northern Spain,Spain",86.5,0.865,3,642.0,LXV,Meso Cabernet Sauvignon,1.0,1033.76,Northern Spain,Spain,R1000-R1500,80-90,1,1,1,Moderate,Premium,participated,participated,participated,medium demand
642,Luis Cañas,Sparkling,56.0,El Palacio,"Northern Spain,Spain",86.5,0.865,3,642.0,Tablas Creek,Patelin de Tablas,1.0,1033.76,Northern Spain,Spain,R1000-R1500,80-90,1,1,1,Moderate,Premium,participated,participated,participated,medium demand
643,Rufino Lecea Blanco,Dessert,10.91,Reminde,"Northern Spain,Spain",97.2,0.972,3,643.0,Daou,Soul of a Lion,1.0,201.4,Northern Spain,Spain,R0-R500,90-100,1,1,1,Cheap,Exceptional,participated,participated,participated,Normal demand
643,Rufino Lecea Blanco,Dessert,10.91,Reminde,"Northern Spain,Spain",97.2,0.972,3,643.0,LXV,Meso Cabernet Sauvignon,1.0,201.4,Northern Spain,Spain,R0-R500,90-100,1,1,1,Cheap,Exceptional,participated,participated,participated,Normal demand
643,Rufino Lecea Blanco,Dessert,10.91,Reminde,"Northern Spain,Spain",97.2,0.972,3,643.0,Tablas Creek,Patelin de Tablas,1.0,201.4,Northern Spain,Spain,R0-R500,90-100,1,1,1,Cheap,Exceptional,participated,participated,participated,Normal demand
644,Juan Carlos Sancha,Fortified,25.22,Cerro La Isa Garnacha,"Northern Spain,Spain",80.8,0.8079999999999999,1,644.0,Daou,Soul of a Lion,1.0,465.56,Northern Spain,Spain,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
645,Ysios,White,98.13,Finca El Nogal,"Northern Spain,Spain",88.5,0.885,4,645.0,Ledge Vineyards,Estate Grenache Blend,0.8059999999999999,1811.48,Northern Spain,Spain,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
645,Ysios,White,98.13,Finca El Nogal,"Northern Spain,Spain",88.5,0.885,4,645.0,L'Aventure,Estate Reserve,0.8079999999999999,1811.48,Northern Spain,Spain,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
645,Ysios,White,98.13,Finca El Nogal,"Northern Spain,Spain",88.5,0.885,4,645.0,Ledge Vineyards,Estate Grenache Blend,0.8029999999999999,1811.48,Northern Spain,Spain,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
645,Ysios,White,98.13,Finca El Nogal,"Northern Spain,Spain",88.5,0.885,4,645.0,Patrimony,Cabernet Sauvignon,0.802,1811.48,Northern Spain,Spain,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
645,Ysios,White,98.13,Finca El Nogal,"Northern Spain,Spain",88.5,0.885,4,645.0,Saxum,James Berry Vineyard Red,0.802,1811.48,Northern Spain,Spain,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
646,Convene by Dan Kosta,White,29.8,Pinot Noir,"California,USA",81.9,0.8190000000000001,4,nan,nan,nan,nan,550.11,California,USA,R500-R1000,80-90,0,0,0,Affordable,Premium,no participation,no participation,no participation,Normal demand
647,DK Grail,Fortified,14.42,Campbell Ranch Pinot Noir,"California,USA",97.5,0.975,5,nan,nan,nan,nan,266.19,California,USA,R0-R500,90-100,0,0,0,Cheap,Exceptional,no participation,no participation,no participation,Normal demand
648,Convene by Dan Kosta,Fortified,87.0,Pinot Noir,"California,USA",83.5,0.835,3,648.0,Daou,Soul of a Lion,1.0,1606.02,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
648,Convene by Dan Kosta,Fortified,87.0,Pinot Noir,"California,USA",83.5,0.835,3,648.0,LXV,Meso Cabernet Sauvignon,1.0,1606.02,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
648,Convene by Dan Kosta,Fortified,87.0,Pinot Noir,"California,USA",83.5,0.835,3,648.0,Tablas Creek,Patelin de Tablas,1.0,1606.02,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
649,Petroni,Rosé,35.79,Poggio Alla Pietra Brunello di Sonoma,"California,USA",93.8,0.938,3,649.0,Daou,Soul of a Lion,1.0,660.68,California,USA,R500-R1000,90-100,1,1,1,Affordable,Exceptional,participated,participated,participated,Normal demand
649,Petroni,Rosé,35.79,Poggio Alla Pietra Brunello di Sonoma,"California,USA",93.8,0.938,3,649.0,LXV,Meso Cabernet Sauvignon,1.0,660.68,California,USA,R500-R1000,90-100,1,1,1,Affordable,Exceptional,participated,participated,participated,Normal demand
649,Petroni,Rosé,35.79,Poggio Alla Pietra Brunello di Sonoma,"California,USA",93.8,0.938,3,649.0,Tablas Creek,Patelin de Tablas,1.0,660.68,California,USA,R500-R1000,90-100,1,1,1,Affordable,Exceptional,participated,participated,participated,Normal demand
650,Petroni,Rosé,56.75,Poggio Alla Pietra Brunello di Sonoma,"California,USA",90.8,0.908,2,nan,nan,nan,nan,1047.61,California,USA,R1000-R1500,90-100,0,0,0,Moderate,Exceptional,no participation,no participation,no participation,Normal demand
651,Petroni,White,92.88,Poggio Alla Pietra Brunello di Sonoma,"California,USA",84.7,0.847,3,651.0,Daou,Soul of a Lion,1.0,1714.56,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
651,Petroni,White,92.88,Poggio Alla Pietra Brunello di Sonoma,"California,USA",84.7,0.847,3,651.0,LXV,Meso Cabernet Sauvignon,1.0,1714.56,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
651,Petroni,White,92.88,Poggio Alla Pietra Brunello di Sonoma,"California,USA",84.7,0.847,3,651.0,Tablas Creek,Patelin de Tablas,1.0,1714.56,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
652,Petroni,Rosé,67.0,Rosso di Sonoma  Red Wine,"California,USA",96.6,0.966,4,nan,nan,nan,nan,1236.82,California,USA,R1000-R1500,90-100,0,0,0,Moderate,Exceptional,no participation,no participation,no participation,Normal demand
653,Sleeper,Red,46.28,Cabernet Sauvignon Reserve,"California,USA",97.7,0.977,1,653.0,Daou,Soul of a Lion,1.0,854.33,California,USA,R500-R1000,90-100,1,1,1,Affordable,Exceptional,participated,participated,participated,Normal demand
654,Sleeper,Dessert,27.43,Cabernet Sauvignon,"California,USA",80.8,0.8079999999999999,3,654.0,Daou,Soul of a Lion,1.0,506.36,California,USA,R500-R1000,80-90,1,1,1,Affordable,Premium,participated,participated,participated,medium demand
654,Sleeper,Dessert,27.43,Cabernet Sauvignon,"California,USA",80.8,0.8079999999999999,3,654.0,LXV,Meso Cabernet Sauvignon,1.0,506.36,California,USA,R500-R1000,80-90,1,1,1,Affordable,Premium,participated,participated,participated,medium demand
654,Sleeper,Dessert,27.43,Cabernet Sauvignon,"California,USA",80.8,0.8079999999999999,3,654.0,Tablas Creek,Patelin de Tablas,1.0,506.36,California,USA,R500-R1000,80-90,1,1,1,Affordable,Premium,participated,participated,participated,medium demand
655,Midnight Cellars,Dessert,29.94,Cabernet Sauvignon Nebula,"California,USA",99.4,0.994,4,655.0,Ledge Vineyards,Estate Grenache Blend,0.8059999999999999,552.69,California,USA,R500-R1000,90-100,1,1,1,Affordable,Exceptional,participated,participated,participated,Normal demand
655,Midnight Cellars,Dessert,29.94,Cabernet Sauvignon Nebula,"California,USA",99.4,0.994,4,655.0,L'Aventure,Estate Reserve,0.8079999999999999,552.69,California,USA,R500-R1000,90-100,1,1,1,Affordable,Exceptional,participated,participated,participated,Normal demand
655,Midnight Cellars,Dessert,29.94,Cabernet Sauvignon Nebula,"California,USA",99.4,0.994,4,655.0,Ledge Vineyards,Estate Grenache Blend,0.8029999999999999,552.69,California,USA,R500-R1000,90-100,1,1,1,Affordable,Exceptional,participated,participated,participated,Normal demand
655,Midnight Cellars,Dessert,29.94,Cabernet Sauvignon Nebula,"California,USA",99.4,0.994,4,655.0,Patrimony,Cabernet Sauvignon,0.802,552.69,California,USA,R500-R1000,90-100,1,1,1,Affordable,Exceptional,participated,participated,participated,Normal demand
655,Midnight Cellars,Dessert,29.94,Cabernet Sauvignon Nebula,"California,USA",99.4,0.994,4,655.0,Saxum,James Berry Vineyard Red,0.802,552.69,California,USA,R500-R1000,90-100,1,1,1,Affordable,Exceptional,participated,participated,participated,Normal demand
656,Ragtag Wine Co.,Dessert,99.49,Meritage,"California,USA",83.8,0.838,5,656.0,L'Aventure,Estate Reserve,0.8390000000000001,1836.59,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
656,Ragtag Wine Co.,Dessert,99.49,Meritage,"California,USA",83.8,0.838,5,656.0,Patrimony,Cabernet Sauvignon,0.8140000000000001,1836.59,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
656,Ragtag Wine Co.,Dessert,99.49,Meritage,"California,USA",83.8,0.838,5,656.0,Caliza,Kän-krēt Grenache,0.922,1836.59,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
656,Ragtag Wine Co.,Dessert,99.49,Meritage,"California,USA",83.8,0.838,5,656.0,Giornata,Fiano,0.8220000000000001,1836.59,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
656,Ragtag Wine Co.,Dessert,99.49,Meritage,"California,USA",83.8,0.838,5,656.0,LXV,Meso Cabernet Sauvignon,0.81,1836.59,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
656,Ragtag Wine Co.,Dessert,99.49,Meritage,"California,USA",83.8,0.838,5,656.0,Daou,Soul of a Lion,0.8140000000000001,1836.59,California,USA,R1500-R2000,80-90,1,1,1,Expensive,Premium,participated,participated,participated,high demand
657,Yount Ridge,Rosé,52.62,Cabernet Sauvignon,"California,USA",86.5,0.865,1,657.0,Daou,Soul of a Lion,1.0,971.37,California,USA,R500-R1000,80-90,1,1,1,Affordable,Premium,participated,participated,participated,medium demand
658,Marchelle,Dessert,78.0,Manchester Ridge Vineyard Chardonnay,"California,USA",81.7,0.8170000000000001,1,658.0,Daou,Soul of a Lion,1.0,1439.88,California,USA,R1000-R1500,80-90,1,1,1,Moderate,Premium,participated,participated,participated,medium demand
659,Fairest Creature,Dessert,31.32,Cabernet Sauvignon,"California,USA",94.5,0.945,5,nan,nan,nan,nan,578.17,California,USA,R500-R1000,90-100,0,0,0,Affordable,Exceptional,no participation,no participation,no participation,Normal demand
660,Spring Mountain Vineyard,Sparkling,69.61,Vista 42 Cabernet Sauvignon,"California,USA",98.7,0.987,1,nan,nan,nan,nan,1285.0,California,USA,R1000-R1500,90-100,0,0,0,Moderate,Exceptional,no participation,no participation,no participation,Normal demand
661,Hosmer,Red,99.2,Limited Release Riesling,"New York State,USA",82.4,0.8240000000000001,2,nan,nan,nan,nan,1831.23,New York State,USA,R1500-R2000,80-90,0,0,0,Expensive,Premium,no participation,no participation,no participation,Normal demand
662,Folklor,Sparkling,37.83,Row Boat Riesling,"Michigan,USA",93.4,0.934,1,nan,nan,nan,nan,698.34,Michigan,USA,R500-R1000,90-100,0,0,0,Affordable,Exceptional,no participation,no participation,no participation,Normal demand
663,Zeitlos,Rosé,72.02,Riesling,"California,USA",99.7,0.997,3,663.0,Daou,Soul of a Lion,1.0,1329.49,California,USA,R1000-R1500,90-100,1,1,1,Moderate,Exceptional,participated,participated,participated,Normal demand
663,Zeitlos,Rosé,72.02,Riesling,"California,USA",99.7,0.997,3,663.0,LXV,Meso Cabernet Sauvignon,1.0,1329.49,California,USA,R1000-R1500,90-100,1,1,1,Moderate,Exceptional,participated,participated,participated,Normal demand
663,Zeitlos,Rosé,72.02,Riesling,"California,USA",99.7,0.997,3,663.0,Tablas Creek,Patelin de Tablas,1.0,1329.49,California,USA,R1000-R1500,90-100,1,1,1,Moderate,Exceptional,participated,participated,participated,Normal demand
664,Eroica,Dessert,87.24,Riesling,"Washington,USA",92.0,0.92,2,nan,nan,nan,nan,1610.45,Washington,USA,R1500-R2000,90-100,0,0,0,Expensive,Exceptional,no participation,no participation,no participation,Normal demand
665,Long Shadows,Dessert,47.33,Poet's Leap Riesling,"Washington,USA",85.0,0.85,2,665.0,Daou,Soul of a Lion,1.0,873.71,Washington,USA,R500-R1000,80-90,1,1,1,Affordable,Premium,participated,participated,participated,medium demand
665,Long Shadows,Dessert,47.33,Poet's Leap Riesling,"Washington,USA",85.0,0.85,2,665.0,LXV,Meso Cabernet Sauvignon,1.0,873.71,Washington,USA,R500-R1000,80-90,1,1,1,Affordable,Premium,participated,participated,participated,medium demand
666,Left Foot Charley,White,81.5,Le Caban Riesling,"Michigan,USA",93.9,0.939,1,666.0,Daou,Soul of a Lion,1.0,1504.49,Michigan,USA,R1500-R2000,90-100,1,1,1,Expensive,Exceptional,participated,participated,participated,high demand
667,Martin Woods,Dessert,55.34,Hyland Vineyard Noble Rot Riesling,"Oregon,USA",80.3,0.8029999999999999,2,nan,nan,nan,nan,1021.58,Oregon,USA,R1000-R1500,80-90,0,0,0,Moderate,Premium,no participation,no participation,no participation,low demand
668,Trisaetum,Sparkling,45.5,Estate Dry Riesling,"Oregon,USA",99.2,0.992,1,nan,nan,nan,nan,839.93,Oregon,USA,R500-R1000,90-100,0,0,0,Affordable,Exceptional,no participation,no participation,no participation,Normal demand
669,Cobb,Fortified,17.35,Cole Ranch Vineyard Riesling,"California,USA",83.3,0.833,5,669.0,L'Aventure,Estate Reserve,0.8390000000000001,320.28,California,USA,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
669,Cobb,Fortified,17.35,Cole Ranch Vineyard Riesling,"California,USA",83.3,0.833,5,669.0,Patrimony,Cabernet Sauvignon,0.8140000000000001,320.28,California,USA,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
669,Cobb,Fortified,17.35,Cole Ranch Vineyard Riesling,"California,USA",83.3,0.833,5,669.0,Caliza,Kän-krēt Grenache,0.922,320.28,California,USA,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
669,Cobb,Fortified,17.35,Cole Ranch Vineyard Riesling,"California,USA",83.3,0.833,5,669.0,Giornata,Fiano,0.8220000000000001,320.28,California,USA,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
669,Cobb,Fortified,17.35,Cole Ranch Vineyard Riesling,"California,USA",83.3,0.833,5,669.0,LXV,Meso Cabernet Sauvignon,0.81,320.28,California,USA,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
669,Cobb,Fortified,17.35,Cole Ranch Vineyard Riesling,"California,USA",83.3,0.833,5,669.0,Daou,Soul of a Lion,0.8140000000000001,320.28,California,USA,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
670,Authentique,Red,82.98,Bremen Town Riesling,"Oregon,USA",88.0,0.88,1,nan,nan,nan,nan,1531.81,Oregon,USA,R1500-R2000,80-90,0,0,0,Expensive,Premium,no participation,no participation,no participation,Normal demand
671,Forge Cellars,Dessert,18.15,Breakneck Creek Dry Riesling,"New York State,USA",82.9,0.8290000000000001,4,671.0,Ledge Vineyards,Estate Grenache Blend,0.8059999999999999,335.05,New York State,USA,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
671,Forge Cellars,Dessert,18.15,Breakneck Creek Dry Riesling,"New York State,USA",82.9,0.8290000000000001,4,671.0,L'Aventure,Estate Reserve,0.8079999999999999,335.05,New York State,USA,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
671,Forge Cellars,Dessert,18.15,Breakneck Creek Dry Riesling,"New York State,USA",82.9,0.8290000000000001,4,671.0,Ledge Vineyards,Estate Grenache Blend,0.8029999999999999,335.05,New York State,USA,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
671,Forge Cellars,Dessert,18.15,Breakneck Creek Dry Riesling,"New York State,USA",82.9,0.8290000000000001,4,671.0,Patrimony,Cabernet Sauvignon,0.802,335.05,New York State,USA,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
671,Forge Cellars,Dessert,18.15,Breakneck Creek Dry Riesling,"New York State,USA",82.9,0.8290000000000001,4,671.0,Saxum,James Berry Vineyard Red,0.802,335.05,New York State,USA,R0-R500,80-90,1,1,1,Cheap,Premium,participated,participated,participated,Normal demand
672,Brooks,Fortified,89.29,Ara Riesling,"Oregon,USA",90.6,0.906,1,nan,nan,nan,nan,1648.29,Oregon,USA,R1500-R2000,90-100,0,0,0,Expensive,Exceptional,no participation,no participation,no participation,Normal demand
673,Bos,Fortified,80.66,All That is Gold Riesling,"Oregon,USA",83.2,0.8320000000000001,1,673.0,Daou,Soul of a Lion,1.0,1488.98,Oregon,USA,R1000-R1500,80-90,1,1,1,Moderate,Premium,participated,participated,participated,medium demand
674,Devona,Dessert,58.6,Merlot,"Washington,USA",93.5,0.935,5,nan,nan,nan,nan,1081.76,Washington,USA,R1000-R1500,90-100,0,0,0,Moderate,Exceptional,no participation,no participation,no participation,Normal demand
