Resturant id,Wine Name,Wine Type,Wine Price,Company Name,Location,Tasting Score
1,Gård,Sparkling,60.89,Vineyard Selection Solaksen,"Washington,USA",81.9
2,Gård,Rosé,30.11,Rhn Blanc,"Washington,USA",96.0
3,DeLille Cellars,Dessert,87.27,Discovery Vineyard Cabernet Sauvignon,"Washington,USA",88.4
4,DeLille Cellars,Red,94.77,Four Flags,"Washington,USA",93.0
5,Abeja,White,33.64,Cabernet Sauvignon,"Washington,USA",88.0
6,WT Vintners,Rosé,16.25,Boushey Vineyard Mourvédre,"Washington,USA",99.5
7,WT Vintners,Fortified,94.39,Boushey Vineyard Grenache,"Washington,USA",86.5
8,Gård,Fortified,85.51,Vineyard Selection Conner Lee,"Washington,USA",89.1
9,Gård,Sparkling,80.06,Vineyard Selection Stoneridge,"Washington,USA",90.7
10,Gård,White,44.14,Tempranillo,"Washington,USA",94.8
11,Ausàs Bodegas y Viñedos,White,52.62,Interpretación,"Castilla y Léon,Spain",88.2
12,Tablas Creek,Fortified,96.88,Esprit Blanc de Tablas,"California,USA",88.3
13,Ausàs Bodegas y Viñedos,Sparkling,22.15,Interpretación,"Castilla y Léon,Spain",88.7
14,Saxum,Sparkling,47.68,"Bone Rock Red, James Berry Vineyard","California,USA",83.6
15,Saxum,Sparkling,60.05,Bone Rock James Berry Vineyard Syrah,"California,USA",97.1
16,Baricci,Rosé,98.61,NaN,"Tuscany,Italy",87.5
17,Canalicchio di Sopra,Sparkling,76.46,NaN,"Tuscany,Italy",82.1
18,Capanna,Rosé,47.79,NaN,"Tuscany,Italy",95.9
19,Fuligni,Dessert,44.52,Ginestreto,"Tuscany,Italy",86.1
20,Le Chiuse,Sparkling,18.34,NaN,"Tuscany,Italy",99.4
21,Le Potazzine,Sparkling,90.98,NaN,"Tuscany,Italy",82.0
22,Lisini,Red,71.13,NaN,"Tuscany,Italy",97.0
23,Salvioni,White,77.54,La Cerbaiola,"Tuscany,Italy",99.2
24,Sesti,Sparkling,49.71,NaN,"Tuscany,Italy",90.1
25,Uccelliera,Red,32.93,NaN,"Tuscany,Italy",82.4
26,Collemattoni,Red,96.48,NaN,"Tuscany,Italy",85.0
27,Mastrojanni,White,66.1,NaN,"Tuscany,Italy",81.0
28,Talenti,Rosé,75.61,NaN,"Tuscany,Italy",81.9
29,Tommasi,Fortified,63.72,Amarone della Valpolicella,"Veneto,Italy",92
30,Facets,Dessert,62.49,Cabernet Sauvignon,"California,USA",88.5
31,Panzanello,Rosé,61.8,1427,"Tuscany,Italy",82.4
32,Nardi Viticoltori,Rosé,94.82,NaN,"Tuscany,Italy",81.4
33,Maurizio Alongi,Dessert,42.68,Vigna Barbischio,"Tuscany,Italy",95.3
34,Lilliano,Rosé,58.81,NaN,"Tuscany,Italy",99.4
35,Lilliano,Rosé,23.96,NaN,"Tuscany,Italy",80.7
36,Le Cinciole,Sparkling,30.17,Aluigi Campo ai Peri,"Tuscany,Italy",80.9
37,Le Cinciole,Sparkling,64.21,NaN,"Tuscany,Italy",95.2
38,I Sodi,White,25.87,NaN,"Tuscany,Italy",88.0
39,I Sodi,Fortified,93.86,NaN,"Tuscany,Italy",99.4
40,Fontodi,Fortified,99.19,Vigna del Sorbo,"Tuscany,Italy",82.0
41,Fontodi,Sparkling,56.73,Terrazze San Leolino,"Tuscany,Italy",96.3
42,Cecchi,Red,98.35,Valore di Famiglia,"Tuscany,Italy",97.9
43,Domaine Flo Busch,Fortified,12.73,Pointe du Jour,"Languedoc-Roussillon,France",97.6
44,Mas des Chimères,Fortified,78.89,Nuit grave,"Languedoc-Roussillon,France",98.3
45,Domaine du Pas de l’Escalette,Rosé,18.87,Les Clapas,"Languedoc-Roussillon,France",88.4
46,Uggiano,Sparkling,35.98,Prestige,"Tuscany,Italy",80.7
47,Castello di Volpaia,Rosé,11.38,NaN,"Tuscany,Italy",90.7
48,Fèlsina,Sparkling,64.36,Berardenga,"Tuscany,Italy",81.1
49,I Fabbri,Dessert,17.03,NaN,"Tuscany,Italy",97.0
50,Oliviera,Rosé,50.56,Campo di Mansueta,"Tuscany,Italy",95.5
51,Fietri,White,65.86,NaN,"Tuscany,Italy",93.6
52,Viticcio,Dessert,33.58,NaN,"Tuscany,Italy",94.4
53,Caparsa,White,88.18,Doccio a Matteo,"Tuscany,Italy",86.0
54,I Fabbri,Fortified,46.92,Gran Selezione,"Tuscany,Italy",80.8
55,Bibbiano,Red,89.33,Vigne di Montornello,"Tuscany,Italy",87.9
56,Castello di Albola,Dessert,95.67,Il Solatio,"Tuscany,Italy",87.9
57,Le Miccine,White,13.33,NaN,"Tuscany,Italy",80.2
58,Rocca delle Macie,Dessert,49.95,Sergio Zingarelli,"Tuscany,Italy",99.2
59,La Madonnina,White,57.24,NaN,"Tuscany,Italy",91.5
60,Candiallle,Sparkling,27.1,NaN,"Tuscany,Italy",82.0
61,Le Fonti,Sparkling,97.17,Gran Selezione,"Tuscany,Italy",96.5
62,Tesco,White,63.26,Finest Riserva,"Tuscany,Italy",90
63,Lamole di Lamole,Red,93.13,Vigneto di Campolungo Gran Selezione,"Tuscany,Italy",94.6
64,Istine,Dessert,53.5,Vigna Casanova dell'Aia,"Tuscany,Italy",96.6
65,Poggerino,Sparkling,72.64,NaN,"Tuscany,Italy",86.1
66,Badia A Coltibuono,White,36.27,NaN,"Tuscany,Italy",93.9
67,Fontodi,Rosé,36.65,NaN,"Tuscany,Italy",84.6
68,Riecine,Sparkling,34.63,NaN,"Tuscany,Italy",92.0
69,Castello di Bossi,Sparkling,93.35,NaN,"Tuscany,Italy",83.0
70,Poggio al Sole,Fortified,48.24,NaN,"Tuscany,Italy",85.3
71,Castello di Radda,Rosé,56.78,NaN,"Tuscany,Italy",89.6
72,Castagnoli,Fortified,80.33,NaN,"Tuscany,Italy",99.4
73,Castello di Querceto,Rosé,17.42,NaN,"Tuscany,Italy",80.6
74,Castello di Gabbiano,Dessert,80.07,NaN,"Tuscany,Italy",98.3
75,Cinciano,White,76.39,NaN,"Tuscany,Italy",89.5
76,Fattoria Le Masse,White,84.34,NaN,"Tuscany,Italy",92.7
77,Panzanello,Red,35.57,NaN,"Tuscany,Italy",97.3
78,Terra di Seta,Sparkling,46.14,Guardo Giro,"Tuscany,Italy",95.3
79,Le Miccine,White,86.18,NaN,"Tuscany,Italy",99.8
80,Lecci e Brocchi,Rosé,79.93,NaN,"Tuscany,Italy",80.1
81,Rignana,Rosé,21.47,NaN,"Tuscany,Italy",89.0
82,Cantina Castelvecchi,Rosé,39.88,Capotondo,"Tuscany,Italy",92.7
83,San Giusto a Rentennano,Red,66.07,Le Baròncole Riserva,"Tuscany,Italy",84.5
84,Poggerino,White,87.16,(N)uovo,"Tuscany,Italy",92.2
85,Ottomani,Rosé,32.92,NaN,"Tuscany,Italy",91.4
86,Podere Poggio Scalette,Fortified,60.01,NaN,"Tuscany,Italy",86.6
87,Barone Ricasoli,Rosé,83.48,Brolio,"Tuscany,Italy",85.5
88,Castello di Monsanto,White,11.52,NaN,"Tuscany,Italy",96.4
